app_id,size_bytes,price(in USD),rating_count_tot,user_rating,cont_rating,prime_genre
1,100788224,3.99,21292,4,1,Games
2,158578688,0,161065,4,1,Productivity
3,100524032,0,188583,3.5,1,Weather
4,128512000,0,262241,4,3,Shopping
5,92774400,0,985920,4.5,1,Reference
6,10485713,0.99,8253,4,1,Games
7,227795968,0,119487,4,1,Finance
8,130242560,0,1126879,4,3,Music
9,49250304,9.99,1117,4.5,1,Utilities
10,70023168,3.99,7885,4,1,Games
11,49618944,4.99,76720,4.5,1,Games
12,227547136,7.99,105776,3.5,1,Games
13,179979264,0,479440,3.5,4,Utilities
14,160925696,0,119773,3.5,1,Finance
15,55153664,4.99,6340,4.5,1,Games
16,207907840,0,56194,4,1,Travel
17,389879808,0,2974676,3.5,1,Social Networking
18,167407616,0,223885,4,3,Travel
19,147093504,0,402925,4,3,Music
20,10735026,2.99,31456,4,1,Games
21,70707916,1.99,2929,4.5,1,Reference
22,6169600,2.99,11447,5,1,Games
23,130583552,0,137951,4,1,Sports
24,71203840,5.99,8,4.5,1,Business
25,11423008,3.99,3241,4,1,Music
26,188017664,0,5795,3.5,1,Health & Fitness
27,4765696,0,42316,3,2,Games
28,287933440,0,123215,3.5,1,Productivity
29,4263936,4.99,782,4,1,Music
30,172772352,9.99,3449,4,1,Weather
31,273844224,0,71856,3.5,1,Social Networking
32,40216576,1.99,13350,4.5,3,Health & Fitness
33,2386944,0.99,137,3,1,Entertainment
34,105431040,0,180087,3.5,3,Games
35,44129280,0.99,33426,4,1,Health & Fitness
36,116443136,0,293228,4,3,Music
37,1646592,1.99,21609,3.5,2,Entertainment
38,30016512,4.99,4684,4,1,Utilities
39,29518848,2.99,2104,4.5,4,Weather
40,66872320,2.99,41633,4,2,Games
41,45229056,2.99,3610,4.5,1,Photo & Video
42,127470592,0,4677,3,3,Music
43,44241920,3.99,30,3.5,1,Navigation
44,107983872,0,48905,4.5,1,Music
45,8044544,4.99,32,3,1,Navigation
46,37214208,0,446185,3.5,1,Travel
47,60320768,1.99,21825,3,2,Entertainment
48,100849664,0,508808,3,1,Games
49,72748032,0,57500,3,1,Sports
50,32164864,1.99,2576,4,1,Games
51,69079040,1.99,1572,4,1,Weather
52,82037760,2.99,3292,3,1,Business
53,150195200,4.99,8932,4.5,1,Education
54,199734272,0,495626,3.5,1,Weather
55,13156352,0.99,812,3,1,Lifestyle
56,30367744,2.99,1583,3.5,3,Lifestyle
57,93420544,0,113936,4.5,1,Food & Drink
58,31505408,4.99,2027,4,1,Entertainment
59,25997312,3.99,768,4,1,Education
60,182054912,0,373835,4,1,Health & Fitness
61,138754048,0,108131,3,1,Shopping
62,13564835,0.99,18943,3.5,1,Games
63,133688320,0,126312,3.5,1,Shopping
64,55205888,4.99,35735,4,1,Games
65,46922752,4.99,410,3,1,Utilities
66,63283200,12.99,1390,4.5,1,Music
67,53426176,0,38,3.5,1,Music
68,39505920,0,233270,4.5,1,Finance
69,210088960,21.99,64,4.5,1,Reference
70,36399104,0,109349,3.5,3,Food & Drink
71,115143680,0,2229,3.5,4,News
72,56481792,1.99,14970,3.5,1,Navigation
73,181941248,0,144214,3.5,1,Weather
